Terminal S Parameter Plot1
Freq [GHz]
Y Axis
__cartesian__ 0 0 3.000000 -14.867033 6.000000 -0.315332
__settings__ 1 0 0 0 11 11 0 0 0 0
3 -8.23653
3.015 -8.35271
3.03 -8.46994
3.045 -8.58822
3.06 -8.70753
3.075 -8.82787
3.09 -8.94922
3.105 -9.07156
3.12 -9.19488
3.135 -9.31914
3.15 -9.44433
3.165 -9.57043
3.18 -9.69739
3.195 -9.82519
3.21 -9.95379
3.225 -10.0832
3.24 -10.2132
3.255 -10.344
3.27 -10.4753
3.285 -10.6072
3.3 -10.7396
3.315 -10.8725
3.33 -11.0056
3.345 -11.1391
3.36 -11.2727
3.375 -11.4064
3.39 -11.54
3.405 -11.6736
3.42 -11.8069
3.435 -11.9398
3.45 -12.0722
3.465 -12.2039
3.48 -12.3349
3.495 -12.4648
3.51 -12.5936
3.525 -12.7211
3.54 -12.8471
3.555 -12.9713
3.57 -13.0936
3.585 -13.2138
3.6 -13.3316
3.615 -13.4468
3.63 -13.5592
3.645 -13.6684
3.66 -13.7744
3.675 -13.8767
3.69 -13.9753
3.705 -14.0698
3.72 -14.1599
3.735 -14.2455
3.75 -14.3264
3.765 -14.4022
3.78 -14.4728
3.795 -14.5381
3.81 -14.5978
3.825 -14.6517
3.84 -14.6999
3.855 -14.742
3.87 -14.7781
3.885 -14.8082
3.9 -14.832
3.915 -14.8498
3.93 -14.8614
3.945 -14.867
3.96 -14.8666
3.975 -14.8603
3.99 -14.8483
4.005 -14.8306
4.02 -14.8075
4.035 -14.7792
4.05 -14.7457
4.065 -14.7074
4.08 -14.6645
4.095 -14.6171
4.11 -14.5656
4.125 -14.5102
4.14 -14.451
4.155 -14.3885
4.17 -14.3227
4.185 -14.254
4.2 -14.1825
4.215 -14.1086
4.23 -14.0323
4.245 -13.954
4.26 -13.8738
4.275 -13.792
4.29 -13.7087
4.305 -13.624
4.32 -13.5383
4.335 -13.4515
4.35 -13.364
4.365 -13.2757
4.38 -13.1869
4.395 -13.0977
4.41 -13.0081
4.425 -12.9184
4.44 -12.8285
4.455 -12.7386
4.47 -12.6488
4.485 -12.5591
4.5 -12.4697
4.515 -12.3805
4.53 -12.2916
4.545 -12.2032
4.56 -12.1152
4.575 -12.0277
4.59 -11.9407
4.605 -11.8543
4.62 -11.7685
4.635 -11.6833
4.65 -11.5988
4.665 -11.5149
4.68 -11.4318
4.695 -11.3494
4.71 -11.2677
4.725 -11.1867
4.74 -11.1065
4.755 -11.0271
4.77 -10.9485
4.785 -10.8706
4.8 -10.7935
4.815 -10.7172
4.83 -10.6417
4.845 -10.567
4.86 -10.4931
4.875 -10.42
4.89 -10.3477
4.905 -10.2762
4.92 -10.2054
4.935 -10.1355
4.95 -10.0663
4.965 -9.99788
4.98 -9.93025
4.995 -9.86337
5.01 -9.79726
5.025 -9.7319
5.04 -9.66729
5.055 -9.60341
5.07 -9.54027
5.085 -9.47785
5.1 -9.41615
5.115 -9.35516
5.13 -9.29487
5.145 -9.23528
5.16 -9.17637
5.175 -9.11815
5.19 -9.06059
5.205 -9.0037
5.22 -8.94747
5.235 -8.89188
5.25 -8.83694
5.265 -8.78263
5.28 -8.72894
5.295 -8.67586
