"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort1:1,FloquetPort1:1)) [deg]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort2:1,FloquetPort1:1)) [deg]"
3,-8.23653163192205,-62.8881683711567,-0.847508051390892,-121.952343502638
3.0075,-8.29448581315684,-63.6556790972702,-0.837624621602349,-122.492888407642
3.015,-8.35270546482369,-64.4255819003094,-0.827853054294972,-123.033206361943
3.0225,-8.4111895301022,-65.1979166505286,-0.818192843412706,-123.573295044605
3.03,-8.46993685928329,-65.9727239498472,-0.808643481944675,-124.113152153364
3.0375,-8.52894620588305,-66.7500451400687,-0.799204461947729,-124.652775404805
3.045,-8.58821622261136,-67.5299223108185,-0.789875274569478,-125.192162534551
3.0525,-8.64774545719094,-68.312398307168,-0.780655410071847,-125.731311297438
3.06,-8.70753234802233,-69.0975167369056,-0.77154435785512,-126.270219467682
3.0675,-8.76757521969037,-69.8853219774215,-0.762541606482412,-126.808884839053
3.075,-8.8278722783078,-70.6758591821592,-0.753646643704656,-127.34730522503
3.0825,-8.88842160669127,-71.4691742865954,-0.744858956485942,-127.885478458965
3.09,-8.94922115936549,-72.2653140136971,-0.736178031029347,-128.423402394229
3.0975,-9.01026875739101,-73.0643258788102,-0.727603352803099,-128.961074904365
3.105,-9.0715620830111,-73.8662581939243,-0.719134406567192,-129.498493883228
3.1125,-9.13309867411348,-74.6711600712598,-0.71077067640029,-130.035657245127
3.12,-9.19487591850258,-75.4790814261156,-0.702511645727039,-130.572562924951
3.1275,-9.25689104797806,-76.290072978918,-0.694356797345708,-131.109208878307
3.135,-9.31914113221573,-77.1041862564003,-0.686305613456093,-131.645593081636
3.1425,-9.38162307244664,-77.9214735918462,-0.678357575687815,-132.181713532339
3.15,-9.44433359493095,-78.74198812432,-0.670512165128789,-132.717568248883
3.1575,-9.50726924422283,-79.5657837968061,-0.662768862354083,-133.253155270921
3.165,-9.57042637622329,-80.3929153531746,-0.65512714745494,-133.788472659388
3.1725,-9.63380115101781,-81.2234383338855,-0.647586500068087,-134.323518496605
3.18,-9.69738952549639,-82.0574090703386,-0.640146399405243,-134.858290886376
3.1875,-9.76118724575352,-82.8948846777727,-0.632806324282861,-135.392787954075
3.195,-9.82518983926641,-83.7359230466123,-0.62556575315204,-135.927007846738
