"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
3,0.176554919819174,-0.344842949319038,-0.480015963868741,-0.769609807838505
3.0075,0.170776574054141,-0.344868265470123,-0.487809964637188,-0.765918037356641
3.015,0.165017392806581,-0.344812874810284,-0.495568222225408,-0.762140762319899
3.0225,0.159278461718676,-0.344677258804466,-0.503289720116216,-0.758278451938946
3.03,0.153560856332737,-0.3444619137278,-0.510973449699166,-0.754331588523585
3.0375,0.147865641882095,-0.344167350454501,-0.518618410452892,-0.750300667326877
3.045,0.142193873086632,-0.343794094243732,-0.526223610124037,-0.746186196386572
3.0525,0.136546593953004,-0.343342684522549,-0.533788064902722,-0.741988696363924
3.06,0.130924837579602,-0.34281367466603,-0.541310799594515,-0.737708700379971
3.0675,0.125329625966273,-0.342207631774702,-0.54879084778888,-0.733346753849366
3.075,0.119761969828843,-0.341525136449378,-0.556227252024051,-0.728903414311832
3.0825,0.114222868418481,-0.340766782563518,-0.563619063948308,-0.724379251261355
3.09,0.108713309345916,-0.339933177033215,-0.570965344477629,-0.719774845973149
3.0975,0.103234268410545,-0.339024939584932,-0.578265163949691,-0.715090791328525
3.105,0.0977867094344523,-0.338042702521092,-0.585517602274176,-0.71032769163772
3.1125,0.0923715841013587,-0.336987110483634,-0.592721749079395,-0.70548616246078
3.12,0.0869898318005176,-0.335858820215649,-0.599876703855159,-0.700566830426579
3.1275,0.0816423794755766,-0.334658500321204,-0.60698157609193,-0.695570333050064
3.135,0.076330141478411,-0.33338683102347,-0.614035485416196,-0.690497318547796
3.1425,0.0710540194279459,-0.332044503921255,-0.62103756172207,-0.685348445651888
3.15,0.0658149020739678,-0.330632221744067,-0.627986945299102,-0.680124383422423
3.1575,0.0606136651659306,-0.329150698105796,-0.634882786956286,-0.674825811058412
3.165,0.0554511713267633,-0.327600657257145,-0.641724248142256,-0.66945341770741
3.1725,0.0503282699316716,-0.325982833836903,-0.648510501061664,-0.664007902273854
3.18,0.0452457969919324,-0.324297972622182,-0.655240728787736,-0.658489973226203
3.1875,0.0402045750436801,-0.322546828277701,-0.661914125370995,-0.652900348402971
3.195,0.0352054130416686,-0.320730165104258,-0.668529895944163,-0.647239754817741
3.2025,0.0302491062580043,-0.31884875678646,-0.67508725682323,-0.641508928463224
3.21,0.0253364361858351,-0.316903386139838,-0.681585435604696,-0.635708614114454
3.2175,0.0204681704479821,-0.314894844857449,-0.68802367125899,-0.629839565131211
3.225,0.0156450627104896,-0.312823933256046,-0.694401214220085,-0.623902543259725
3.2325,0.0108678526010873,-0.310691460021953,-0.700717326471284,-0.617898318433771
3.24,0.00613726563252717,-0.308498241956714,-0.706971281627222,-0.611827668575204
3.2475,0.00145401313078171,-0.306245103722624,-0.713162365012077,-0.605691379394041
3.255,-0.00318120783192497,-0.303932877588254,-0.719289873734001,-0.599490244188144
3.2625,-0.007767714499284,-0.301562403174042,-0.725353116755794,-0.593225063642589
3.27,-0.012304838488295,-0.299134527198071,-0.73135141496183,-0.5868966456288
