Freq [GHz],"dB(St(FloquetPort1:1,FloquetPort1:1)) []","dB(St(FloquetPort2:1,FloquetPort1:1)) []"
3,-8.236531632,-0.847508051
3.0075,-8.294485813,-0.837624622
3.015,-8.352705465,-0.827853054
3.0225,-8.41118953,-0.818192843
3.03,-8.469936859,-0.808643482
3.0375,-8.528946206,-0.799204462
3.045,-8.588216223,-0.789875275
3.0525,-8.647745457,-0.78065541
3.06,-8.707532348,-0.771544358
3.0675,-8.76757522,-0.762541606
3.075,-8.827872278,-0.753646644
3.0825,-8.888421607,-0.744858956
3.09,-8.949221159,-0.736178031
3.0975,-9.010268757,-0.727603353
3.105,-9.071562083,-0.719134407
3.1125,-9.133098674,-0.710770676
3.12,-9.194875919,-0.702511646
3.1275,-9.256891048,-0.694356797
3.135,-9.319141132,-0.686305613
3.1425,-9.381623072,-0.678357576
3.15,-9.444333595,-0.670512165
3.1575,-9.507269244,-0.662768862
3.165,-9.570426376,-0.655127147
3.1725,-9.633801151,-0.6475865
3.18,-9.697389525,-0.640146399
3.1875,-9.761187246,-0.632806324
3.195,-9.825189839,-0.625565753
3.2025,-9.889392607,-0.618424164
3.21,-9.953790614,-0.611381035
3.2175,-10.01837868,-0.604435843
3.225,-10.08315139,-0.597588066
3.2325,-10.14810303,-0.590837181
3.24,-10.21322766,-0.584182665
3.2475,-10.27851902,-0.577623994
3.255,-10.3439706,-0.571160645
3.2625,-10.40957556,-0.564792095
3.27,-10.47532676,-0.55851782
3.2775,-10.54121675,-0.552337297
3.285,-10.60723774,-0.546250001
3.2925,-10.6733816,-0.54025541
3.3,-10.73963986,-0.534353
3.3075,-10.80600368,-0.528542248
3.315,-10.87246384,-0.52282263
3.3225,-10.93901075,-0.517193624
3.33,-11.00563442,-0.511654706
3.3375,-11.07232446,-0.506205354
3.345,-11.13907004,-0.500845045
3.3525,-11.20585992,-0.495573258
3.36,-11.27268243,-0.490389471
3.3675,-11.33952541,-0.485293161
3.375,-11.40637629,-0.480283809
3.3825,-11.47322198,-0.475360893
3.39,-11.54004893,-0.470523893
